Empresa;C�digo;�ndices dos quais participa
BRISANET;BRST3;IGCX,IGNM,ITAG
BRITISH AMER;B1TI34;BDRX
BROADCOM INC;AVGO34;BDRX
BTGP BANCO;BPAC11;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX
CAIXA SEGURI;CXSE3;GPTW,IBBC,IBBE,IBBR,IBEE,IBEW,IBLV,IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
CAMIL;CAML3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
CARTESIA FII;CACR11;IFIL,IFIX
CASAS BAHIA;BHIA3;GPTW,IBRA,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
CATERPILLAR;CATP34;BDRX
CBA;CBAV3;GPTW,IBRA,IDVR,IGCT,IGCX,IGNM,IMAT,ISEE,ITAG,SMLL
CEA MODAS;CEAB3;GPTW,IBRA,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
CEDRO;CEDO4;IGCX,ITAG
CELESC;CLSC3;ITAG
CELESC;CLSC4;IGCX,ITAG
CEMIG;CMIG3;IGCX
CEMIG;CMIG4;IBBC,IBBE,IBBR,IBEE,IBEW,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL
CHARTER COMM;CHCM34;BDRX
CHEVRON;CHVX34;BDRX
CIABRASF;ADMF3;IGCX,IGNM,ITAG
CISCO;CSCO34;BDRX
CITIGROUP;CTGP34;BDRX
COCA COLA;COCA34;BDRX
COELCE;COCE5;IEEX
COGNA ON;COGN3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
COINBASEGLOB;C2OI34;BDRX
COLGATE;COLG34;BDRX
COMCAST;CMCS34;BDRX
COPASA;CSMG3;IBRA,IBXX,IDIV,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL
COPEL;CPLE3;IBRA,IBXX,ICO2,IDIV,IDVR,IGCT,IGCX,ITAG,MLCX,UTIL
COPEL;CPLE5;IGCX,ITAG
COPEL;CPLE6;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,ISEE,ITAG,IVBX,MLCX,UTIL
COPHILLIPS;COPH34;BDRX
COSAN;CSAN3;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
COSTCO;COWC34;BDRX
CPFL ENERGIA;CPFE3;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL
CROWDSTRIKE;C2RW34;BDRX
CRUZEIRO EDU;CSED3;IGCX,IGNM,ITAG
