Empresa;C�digo;�ndices dos quais participa
MINERVA;BEEF3;AGFS,GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
MITRE REALTY;MTRE3;IGCX,IGNM,ISEE,ITAG
MODERNA INC;M1RN34;BDRX
MONSTER BEVE;M1NS34;BDRX
MORGAN STAN;MSBR34;BDRX
MOTIVA SA;MOTV3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
MOURA DUBEUX;MDNE3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
MOVIDA;MOVI3;IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
MRV;MRVE3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ISEE,ITAG,IVBX,SMLL
MULTILASER;MLAS3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
MULTIPLAN;MULT3;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IMOB,ITAG,IVBX,SMLL
NASDAQ INC;N1DA34;BDRX
NATURA;NTCO3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,SMLL
NEOENERGIA;NEOE3;GPTW,IBRA,ICO2,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL
NEOGRID;NGRD3;IGCX,IGNM,ITAG
NETFLIX;NFLX34;BDRX
NEWMONT GOLD;N1EM34;BDRX
NEXTERA ENER;NEXT34;BDRX
NIKE;NIKE34;BDRX
NOVO NORDISK;N1VO34;BDRX
NU HOLDINGS;ROXO34;BDRX,IBBC,IBBE,IBBR
NVIDIA CORP;NVDC34;BDRX
OCCIDENT PTR;OXYP34;BDRX
OCEANPACT;OPCT3;IBRA,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
ODONTOPREV;ODPV3;GPTW,IBRA,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
ONCOCLINICAS;ONCO3;GPTW,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
ORACLE;ORCL34;BDRX
ORIZON;ORVR3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL,UTIL
OUROFINO S/A;OFSA3;IGCX,IGNM,ITAG
P.ACUCAR-CBD;PCAR3;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
PADTEC;PDTC3;IGCX,IGNM,ITAG
PAGSEGURO;PAGS34;BDRX,IBBC,IBBE,IBBR
PAGUE MENOS;PGMN3;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
PALANTIRTECH;P2LT34;BDRX
PALOALTO NET;P2AN34;BDRX
PAYPAL HOLD;PYPL34;BDRX
PDD HOLDING;P1DD34;BDRX
PEPSICO INC;PEPB34;BDRX
PETROBRAS;PETR3;IBBC,IBBE,IBBR,IBEE,IBEW,IBOV,IBRA,IBXL,IBXX,IDIV,IDVR,IGCT,IGCX,ITAG,MLCX
PETROBRAS;PETR4;IBBC,IBBE,IBBR,IBEE,IBEW,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,IDIV,IDVR,IGCT,IGCX,ITAG,MLCX
PETRORECSA;RECV3;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
PETRORIO;PRIO3;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,IDVR,IGCT,IGCX,IGNM,ITAG,MLCX
PETTENATI;PTNT4;ITAG
PETZ;PETZ3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
PFIZER;PFIZ34;BDRX
PG;PGCO34;BDRX
PINE;PINE3;IGCX,ITAG
PINE;PINE4;IGCX,ITAG
PLANOEPLANO;PLPL3;IBRA,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
PORTO SEGURO;PSSA3;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXX,ICO2,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX
PORTOBELLO;PTBL3;IGCX,IGNM,ISEE,ITAG
POSITIVO TEC;POSI3;GPTW,IBRA,IDVR,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
PRINER;PRNR3;IBRA,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
PROFARMA;PFRM3;IGCX,IGNM,ITAG
PROLOGIS INC;P1LD34;BDRX
QUALCOMM;QCOM34;BDRX
QUALICORP;QUAL3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
QUERO-QUERO;LJQQ3;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
RAIADROGASIL;RADL3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
RAIZEN;RAIZ4;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,ISEE,ITAG,MLCX
RANDON PART;RAPT3;IGCX
RANDON PART;RAPT4;AGFS,IBRA,IGCT,IGCX,INDX,ITAG,SMLL
RDVC CITY;CCTY3;IGCX,IGNM,ITAG
REAGINVEST;REAG3;IGCX,IGNM,ITAG
REALTY INCOM;R1IN34;BDRX
RECRUSUL;RCSL3;AGFS,IBRA,INDX,SMLL
REDE D OR;RDOR3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
REVEE;RVEE3;IGCX,IGNM,ITAG
RIO TINTO;RIOT34;BDRX
RNI;RDNI3;IGCX,IGNM,ITAG
ROBLOX CORP;R2BL34;BDRX
ROMI;ROMI3;IGCX,IGNM,ITAG
RUMO S.A.;RAIL3;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
SABESP;SBSP3;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL
SALESFOR INC;SSFO34;BDRX
SANEPAR;SAPR11;IBRA,IDIV,IDVR,IGCT,IGCX,ISEE,ITAG,SMLL,UTIL
SANTANDER;BCSA34;BDRX
SANTANDER BR;SANB11;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXX,ICO2,IDVR,IFNC,ISEE,ITAG,MLCX
SANTOS BRP;STBP3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXX,ICO2,IDIV,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
SAO CARLOS;SCAR3;IGCX,IGNM,ITAG
SAO MARTINHO;SMTO3;AGFS,GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
SCHWAB;SCHW34;BDRX
SEA LTD;S2EA34;BDRX
SER EDUCA;SEER3;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
SERENA;SRNA3;IBRA,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL
SERVICENOW;N1OW34;BDRX
SHOPIFY INC;S2HO34;BDRX
SIBANYE STIL;S1BS34;BDRX
SID NACIONAL;CSNA3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBSD,IBXL,IBXX,IDIV,IMAT,INDX,IVBX,SMLL
SIGMA LITHM;S2GM34;BDRX
SIMON PROP;SIMN34;BDRX
SIMPAR;SIMH3;IBRA,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
SLC AGRICOLA;SLCE3;AGFS,GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
SMART FIT;SMFT3;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
SNOWFLAKE;S2NW34;BDRX
SONY GROUP;SNEC34;BDRX
SPOTIFY TECH;S1PO34;BDRX
STAG INDUSTR;S2TA34;BDRX
STARBUCKS;SBUB34;BDRX
STONE CO;STOC34;BDRX,IBBC,IBBE,IBBR
SUN COMMUN;S2UI34;BDRX
SUZANO S.A.;SUZB3;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,IMAT,INDX,ITAG,MLCX
SYN PROP TEC;SYNE3;IBRA,IDIV,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
TAESA;TAEE11;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBSD,IBXX,IDIV,IEEX,IGCT,IGCX,ITAG,SMLL,UTIL
TAIWANSMFAC;TSMC34;BDRX
TAKE-TWO INT;T1TW34;BDRX
TAL EDUCATIO;T1AL34;BDRX
TAURUS ARMAS;TASA3;IGCX,ITAG
TAURUS ARMAS;TASA4;IBRA,IGCT,IGCX,ITAG
TC;TRAD3;IGCX,IGNM,ITAG
TECHNOS;TECN3;IGCX,IGNM,ITAG
TECNISA;TCSA3;IGCX,IGNM,ITAG
TEGMA;TGMA3;IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL
TELADOCHEALT;T2DH34;BDRX
TELEF BRASIL;VIVT3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,ISEE,IVBX,MLCX
TELEFONIC;TLNC34;BDRX
TENDA;TEND3;IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
TERRASANTAPA;LAND3;IGCX,IGNM,ITAG
TESLA INC;TSLA34;BDRX
TEXAS INC;TEXA34;BDRX
THERMFISCHER;TMOS34;BDRX
TIM;TIMS3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
TOTVS;TOTS3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
TOYOTAMO;TMCO34;BDRX
TRACK FIELD;TFCO4;IGCX,ITAG
TRADE DESK;T2TD34;BDRX
TRANSOCEAN;RIGG34;BDRX
TRISUL;TRIS3;IGCX,IGNM,ITAG
TRIUNFO PART;TPIS3;IGCX,IGNM,ITAG
TUPY;TUPY3;AGFS,IBRA,IDVR,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
UBER TECH IN;U1BE34;BDRX
ULTRAPAR;UGPA3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
UNICASA;UCAS3;IGCX,IGNM,ITAG
UNIFIQUE;FIQE3;IGCX,IGNM,ITAG
UNILEVER;ULEV34;BDRX
UNIPAR;UNIP6;GPTW,IBRA,IDIV,IMAT,SMLL
UNITEDHEALTH;UNHH34;BDRX
UNITY SOFTWR;U2ST34;BDRX
UPSTART HOLD;U2PS34;BDRX
USIMINAS;USIM3;IGCX
USIMINAS;USIM5;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,IGCT,IGCX,IMAT,INDX,ISEE,IVBX,SMLL
VALE;VALE3;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBSD,IBXL,IBXX,IDIV,IGCT,IGCX,IGNM,IMAT,ITAG,MLCX
VALID;VLID3;IBRA,IDIV,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
VAMOS;VAMO3;AGFS,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
VERIZON;VERZ34;BDRX
VESTE;VSTE3;IGCX,IGNM,ITAG
VIBRA;VBBR3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
VISA INC;VISA34;BDRX
VITRUEDUCA;VTRU3;IGCX,IGNM
VITTIA;VITT3;IGCX,IGNM,ITAG
VIVARA S.A.;VIVA3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,SMLL
VIVEO;VVEO3;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
VIVER;VIVR3;IGCX,IGNM,ITAG
VODAFONE GRO;V1OD34;BDRX
VULCABRAS;VULC3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
WAL MART;WALM34;BDRX
WALT DISNEY;DISB34;BDRX
WARNER DISCO;W1BD34;BDRX
WDC NETWORKS;LVTC3;IGCX,IGNM,ITAG
WEG;WEGE3;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,MLCX
WELLS FARGO;WFCO34;BDRX
WESTWING;WEST3;IGCX,IGNM,ITAG
WILSON SONS;PORT3;GPTW,IBRA,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
WIZ CO;WIZC3;IGCX,IGNM,ITAG
XP INC;XPBR31;IBBC,IBBE,IBBR
YDUQS PART;YDUQ3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
ZAMP S.A.;ZAMP3;ITAG
ZOOM COMMS;Z1OM34;BDRX
